en,ja,es,ar,ko,pt,th,tr,fr,in,tl,ru,it,hi,de,zh,zh_t,nl,pl,ht,et,fa,ur,el,sv,ta,fi,da,ro,cs,eu,google_topic_id
biodiversity,生物多様性,biodiversidad,التنوع البيولوجي,생물 다양성,biodiversidade,ความหลากหลายทางชีวภาพ,biyoçeşitlilik,biodiversité,keanekaragaman hayati,biodiversity,биоразнообразия,biodiversità,जैव विविधता,Biodiversität,生物多样性,生物多樣性,biodiversiteit,różnorodności biologicznej,divèsite biyolojik,bioloogiline mitmekesisus,تنوع زیستی,جیو ویو,βιοποικιλότητα,biologiska mångfalden,பல்லுயிர்,biodiversiteetti,biodiversitet,biodiversitatea,biodiverzity,biodibertsitatea,/m/0c8g5
biosphere,生物圏,biosfera,المحيط الحيوي,생물권,biosfera,ชีววง,biyosfer,biosphère,lingkungan,biosphere,биосфера,biosfera,बीओस्फिअ,Biosphäre,生物圈,生物圈,biosfeer,biosfera,byosfèr,biosfäär,بیوسفر,بایو گراؤنڈ,βιόσφαιρα,biosfär,உயிர்க்கோளம்,biosfääri,biosfæren,biosferă,biosféra,biosfera,/m/01jd0
deforestation,森林破壊,deforestación,إزالة الغابات,삼림 벌채,desmatamento,ตัดไม้ทำลายป่า,orman açma,déforestation,penggundulan hutan,deforestation,вырубка леса,la deforestazione,वनों की कटाई,Abholzung,森林砍伐,森林砍伐,ontbossing,wylesianie,debwazman,raadamine,جنگل زدایی,تباہی,αποψίλωση των δασών,avskogning,காடழிப்பு,metsäkadon,skovrydning,despădurire,odlesňování,deforestazioa,/m/02875
desertification,砂漠化,desertificación,التصحر,사막화,desertificação,ทะเลทราย,çölleşme,désertification,penggurunan,desertification,опустыниванию,desertificazione,बंजर,Wüstenbildung,荒漠化,荒漠化,woestijnvorming,pustynnienie,dezètifikasyon,kõrbestumine,بیابان زایی,صحرا,ερημοποίηση,ökenspridning,பாலைவனமாக்கலை,aavikoituminen,ørkendannelse,deșertificarea,dezertifikace,desertifikazioa,/m/0287n
ecology,エコロジー,ecología,علم البيئة,생태학,ecologia,นิเวศวิทยา,ekoloji,écologie,ekologi,ekolohiya,экология,ecologia,परिस्थितिकी,Ökologie,生态,生態,ecologie,ekologia,ekoloji,ökoloogia,محیط زیست,ماحولیات,οικολογία,ekologi,சூழலியல்,ekologia,økologi,ecologie,ekologie,ekologia,/m/02mgp
endangered species,絶滅危惧種,especie en peligro,الأنواع المهددة بالإنقراض,멸종 위기 종,espécies em perigo,สัตว์ใกล้สูญพันธุ์,nesli tükenmekte olan türler,espèces menacées,spesies langka,nanganganib na uri,вымирающие виды,specie in pericolo,लुप्तप्राय प्रजातियां,gefährdete Spezies,濒危物种,瀕危物種,bedreigde soort,zagrożone gatunki,espès ki an danje,ohustatud liigid,گونه های در معرض خطر,معدومیت کے خطرے سے دوچار نسل,είδη υπό εξαφάνιση,Hotade arter,ஆபத்தான இனங்கள்,uhanalaiset lajit,truede arter,specii pe cale de dispariție,ohrožené druhy,arriskuan dauden espezieak,/m/02lwm
endemic species,固有種,especies endémicas,الأنواع المتوطنة,고유 종,espécies endémicas,ชนิดเฉพาะถิ่น,endemik türler,espèces endémiques,spesies endemik,endemic species,эндемичные виды,specie endemiche,स्थानिक प्रजातियों,endemische Spezies,特有物种,特有物種,endemische soorten,gatunki endemiczne,espès endemic,endeemilised liigid,گونه های اندمیک,پریمیم پرجاتیوں,ενδημικά είδη,endemiska arter,இனப்பெருக்க இனங்கள்,endemiset lajit,endemiske arter,endemice,endemických druhů,espezie endemikoak,/m/03rqj8
extinction,絶滅,extinción,انقراض,소멸,extinção,การสูญเสีย,sönme,extinction,kepunahan,pagkalipol,вымирание,estinzione,विलुप्त होने,Aussterben,灭绝,滅絕,uitdoving,wygaśnięcie,disparisyon,väljasuremine,انقراض,ختم ہونا,εξαφάνιση,utdöende,அழிவு,sammuminen,udslettelse,extincţie,zánik,desagertzeko,/m/0d4y5
genetic diversity,遺伝的多様性,diversidad genetica,التنوع الجيني,유전 적 다양성,diversidade genética,ความหลากหลายทางพันธุกรรม,genetik çeşitlilik,diversité génétique,keragaman genetik,pagkakaiba-iba ng genetiko,генетическое разнообразие,diversità genetica,आनुवंशिक विविधता,genetische Vielfalt,遗传多样性,遺傳多樣性,genetische diversiteit,różnorodność genetyczna,jenetik divèsite,geneetiline mitmekesisus,تنوع ژنتیکی,جینیاتی تنوع,γενετική ποικιλότητα,genetisk mångfald,மரபணு வேறுபாடு,geneettistä monimuotoisuutta,genetisk mangfoldighed,diversitate genetică,genetická rozmanitost,aniztasun genetikoa,/m/0244qg
habitat destruction,生息地破壊,Destrucción del habitát,تدمير الموائل,서식지 파괴,destruição do habitat,การทำลายที่อยู่อาศัย,yaşam alanı tahripatı,destruction de l'habitat,perusakan habitat,pagkasira ng tirahan,разрушение среды обитания,distruzione dell'habitat,निवास का विनाश,Zerstörung des Lebensraumes,栖息地破坏,棲息地破壞,vernietiging van leefomgeving,niszczenie siedlisk,destriksyon abita,elupaikade hävitamine,تخریب محل سکونت,رہائش گاہ کی تباہی,καταστροφή των οικοτόπων,förstörelse av livsmiljöer,வசிப்பிட அழிவு,luontotyyppien tuhoamista,ødelæggelse af levesteder,distrugerea habitatului,zničení stanovišť,habitataren suntsipena,/m/05p_6q
